ContractDate,ContractSession,LoginName,ContractID,ContractPrice,ContractVolume,OrderID
24,4,AntiTrendStrategy1,1111,2172,36,2268
24,4,URandomAgent,1112,2172,13,2266
24,4,AntiTrendStrategy2,1113,2172,43,2269
24,4,SRsiStrategy2,1114,2172,15,2245
24,4,AntiTrendStrategy1,1115,2172,26,2223
24,4,SRsiStrategy1,1116,2172,32,2257
24,4,TrendStrategy,1117,2172,16,2267
24,4,SRandomStrategy0001,1118,2172,32,2271
24,4,SFSpreadStrategy2,1119,2172,35,2277
24,4,SFSpreadStrategy1,1120,2172,41,2276
24,4,SRandomStrategy0000,1121,2172,41,2270
