ContractDate,ContractSession,LoginName,ContractID,ContractPrice,ContractVolume,OrderID
22,4,SRandomStrategy0000,999,2171,38,2064
22,4,SFSpreadStrategy2,1000,2171,23,2069
22,4,SRandomStrategy0001,1001,2171,36,2065
22,4,AntiTrendStrategy1,1002,2171,23,2062
22,4,SFSpreadStrategy1,1003,2171,46,2068
22,4,AntiTrendStrategy2,1004,2171,50,2063
22,4,RsiStrategy,1005,2171,16,2041
22,4,DayTradeStrategy1,1006,2171,20,2044
22,4,DayTradeStrategy2,1007,2171,44,2046
22,4,URandomAgent,1008,2171,39,2020
22,4,RsiStrategy,1009,2171,44,2067
22,4,AntiTrendStrategy1,1010,2171,25,2049
22,4,TrendStrategy,1011,2171,28,2061
