ContractDate,ContractSession,LoginName,ContractID,ContractPrice,ContractVolume,OrderID
20,4,SRandomStrategy0002,870,2260,21,1819
20,4,RsiStrategy,871,2260,33,1820
20,4,SRandomStrategy0001,872,2260,50,1818
20,4,TrendStrategy,873,2260,14,1814
20,4,SFSpreadStrategy2,874,2260,19,1825
20,4,SMovingAverageStrategy3,875,2260,19,1808
20,4,SMovingAverageStrategy2,876,2260,29,1807
20,4,SMovingAverageStrategy1,877,2260,11,1806
20,4,AntiTrendStrategy1,878,2260,49,1815
20,4,AntiTrendStrategy2,879,2260,29,1816
