ContractDate,ContractSession,LoginName,ContractID,ContractPrice,ContractVolume,OrderID
20,8,SMovingAverageStrategy3,906,2245,22,1885
20,8,SMovingAverageStrategy2,907,2245,39,1884
20,8,SMovingAverageStrategy1,908,2245,29,1883
20,8,SRandomStrategy0001,909,2245,49,1877
20,8,SFSpreadStrategy1,910,2245,45,1886
20,8,URandomAgent,911,2245,2,1872
20,8,AntiTrendStrategy2,912,2245,36,1834
20,8,SFSpreadStrategy2,913,2245,27,1779
20,8,URandomAgent,914,2245,47,1800
20,8,SMovingAverageStrategy1,915,2245,11,1821
20,8,MovingAverageStrategy,916,2245,47,1882
20,8,AntiTrendStrategy2,917,2245,14,1875
