ContractDate,ContractSession,LoginName,ContractID,ContractPrice,ContractVolume,OrderID
21,6,SRandomStrategy0000,951,2199,22,1978
21,6,SRandomStrategy0001,952,2199,40,1979
21,6,SFSpreadStrategy1,953,2199,15,1986
21,6,SFSpreadStrategy2,954,2199,46,1987
21,6,MovingAverageStrategy,955,2199,15,1985
21,6,TrendStrategy,956,2199,44,1975
21,6,DayTradeStrategy1,957,2199,21,1934
21,6,DayTradeStrategy2,958,2199,16,1936
21,6,DayTradeStrategy1,959,2199,32,1920
21,6,DayTradeStrategy2,960,2199,12,1922
21,6,AntiTrendStrategy2,961,2199,47,1977
21,6,AntiTrendStrategy1,962,2199,11,1941
21,6,RsiStrategy,963,2199,15,1981
21,6,URandomAgent,964,2199,28,1974
