ContractDate,ContractSession,LoginName,ContractID,ContractPrice,ContractVolume,OrderID
22,7,SRsiStrategy3,1036,2154,34,2113
22,7,SRsiStrategy1,1037,2154,50,2111
22,7,SRandomStrategy0000,1038,2154,46,2107
22,7,SFSpreadStrategy1,1039,2154,22,2114
22,7,SRsiStrategy2,1040,2154,46,2112
22,7,SRandomStrategy0001,1041,2154,15,2108
22,7,DayTradeStrategy2,1042,2154,50,2059
22,7,DayTradeStrategy1,1043,2154,41,2057
22,7,RsiStrategy,1044,2154,34,2080
22,7,AntiTrendStrategy1,1045,2154,43,2105
22,7,AntiTrendStrategy2,1046,2154,45,2106
