ContractDate,ContractSession,LoginName,ContractID,ContractPrice,ContractVolume,OrderID
28,8,SFSpreadStrategy1,1365,2161,15,2762
28,8,SRandomStrategy0002,1366,2161,43,2757
28,8,SRandomStrategy0000,1367,2161,39,2755
28,8,URandomAgent,1368,2161,44,2754
28,8,AntiTrendStrategy2,1369,2161,12,2699
28,8,SRandomStrategy0002,1370,2161,27,2677
28,8,DayTradeStrategy1,1371,2161,44,2667
28,8,DayTradeStrategy2,1372,2161,16,2669
28,8,AntiTrendStrategy2,1373,2161,26,2730
28,8,DayTradeStrategy1,1374,2161,16,2708
