Date,Session,Price,SellVolume,BuyVolume
1,6,-1,0,0
1,6,1986,12,0
1,6,1989,0,36
1,6,1993,0,43
1,6,1995,0,22
1,6,1997,0,46
1,6,1998,0,28
1,6,1999,0,132
1,6,2002,0,33
1,6,2003,0,30
1,6,2005,0,75
1,6,2006,28,0
1,6,2010,0,17
1,6,2011,0,39
1,6,2015,0,146
1,6,2018,22,0
1,6,2032,0,39
1,6,2036,73,0
1,6,2037,37,0
1,6,2038,25,0
1,6,2039,13,0
1,6,2040,135,0
1,6,2044,18,0
1,6,2046,88,0
1,6,2048,29,0
1,6,2050,39,0
1,6,2051,49,0
1,6,2053,24,0
1,6,2056,127,0
1,6,2059,34,0
1,6,2062,22,0
1,6,2072,41,0
1,6,2073,37,0
1,6,2088,40,0
1,6,2096,21,0
