Date,Session,RealTime,LoginName,Command,OrderID,BrandName,NewRepay,SellBuy,MarketLimit,Price,Volume,RandomNumber
4,1,Mon Jul 13 23:50:58 JST 2015,URandomAgent,Request,324,j30,1,2,2,1982,35,1256820224
4,1,Mon Jul 13 23:50:58 JST 2015,UMovingAverageAgent,Request,325,j30,1,2,2,1991,40,1998711323
4,1,Mon Jul 13 23:50:58 JST 2015,TrendStrategy,Request,326,j30,1,2,2,1995,27,252927047
4,1,Mon Jul 13 23:50:58 JST 2015,AntiTrendStrategy1,Request,327,j30,1,1,2,1999,47,367830942
4,1,Mon Jul 13 23:50:58 JST 2015,AntiTrendStrategy2,Request,328,j30,1,1,2,1953,10,1133964626
4,1,Mon Jul 13 23:50:58 JST 2015,SRandomStrategy0000,Request,329,j30,1,2,2,2027,39,2012825476
4,1,Mon Jul 13 23:50:58 JST 2015,SRandomStrategy0001,Request,330,j30,1,1,2,2018,27,1180767193
4,1,Mon Jul 13 23:50:58 JST 2015,SRandomStrategy0002,Request,331,j30,1,2,2,2025,26,315210081
4,1,Mon Jul 13 23:50:58 JST 2015,RsiStrategy,Request,332,j30,1,1,2,1996,20,753219948
4,1,Mon Jul 13 23:50:58 JST 2015,SFSpreadStrategy1,Request,333,j30,1,2,2,1997,16,759217255
4,1,Mon Jul 13 23:50:58 JST 2015,SFSpreadStrategy2,Request,334,j30,1,2,2,1989,35,146291256
4,1,Mon Jul 13 23:50:58 JST 2015,DayTradeStrategy1,Request,335,j30,1,2,2,1968,35,500459170
4,1,Mon Jul 13 23:50:58 JST 2015,DayTradeStrategy1,Request,336,j30,1,1,2,2007,46,539123842
4,1,Mon Jul 13 23:50:58 JST 2015,DayTradeStrategy2,Request,337,j30,1,2,2,1968,33,1505097534
4,1,Mon Jul 13 23:50:58 JST 2015,DayTradeStrategy2,Request,338,j30,1,1,2,2007,28,298228243
