ContractDate,ContractSession,LoginName,ContractID,ContractPrice,ContractVolume,OrderID
3,4,AntiTrendStrategy1,123,1969,50,261
3,4,AntiTrendStrategy2,124,1969,33,262
3,4,SFSpreadStrategy1,125,1969,5,226
3,4,SRandomStrategy0000,126,1969,27,236
3,4,TrendStrategy,127,1969,39,219
3,4,DayTradeStrategy2,128,1969,33,245
3,4,DayTradeStrategy1,129,1969,13,243
3,4,SFSpreadStrategy1,130,1969,37,267
3,4,RsiStrategy,131,1969,45,266
3,4,SRandomStrategy0000,132,1969,13,263
3,4,SRandomStrategy0001,133,1969,30,264
3,4,SRandomStrategy0002,134,1969,36,265
3,4,SFSpreadStrategy2,135,1969,39,268
