Date,Session,Price,SellVolume,BuyVolume
24,5,-1,0,0
24,5,2100,0,46
24,5,2113,0,57
24,5,2122,0,29
24,5,2127,0,48
24,5,2134,0,159
24,5,2137,0,60
24,5,2144,50,39
24,5,2147,0,48
24,5,2149,0,22
24,5,2150,0,63
24,5,2151,19,0
24,5,2152,0,28
24,5,2154,46,0
24,5,2155,0,41
24,5,2159,49,0
24,5,2160,0,18
24,5,2169,0,27
24,5,2170,5,0
24,5,2173,116,0
24,5,2174,43,0
24,5,2175,47,0
24,5,2177,202,0
24,5,2180,74,0
24,5,2184,25,0
24,5,2190,0,41
24,5,2192,45,0
24,5,2193,48,0
24,5,2194,50,0
24,5,2195,118,0
24,5,2197,49,0
24,5,2198,41,0
24,5,2202,26,0
24,5,2204,27,0
