Date,Session,Price,SellVolume,BuyVolume
21,7,-1,0,0
21,7,1956,0,40
21,7,1960,0,49
21,7,1967,0,32
21,7,1983,0,49
21,7,1992,0,30
21,7,2041,0,48
21,7,2044,0,30
21,7,2045,0,22
21,7,2063,0,23
21,7,2066,45,0
21,7,2070,24,0
21,7,2085,0,31
21,7,2087,0,27
21,7,2094,0,31
21,7,2096,0,12
21,7,2105,0,36
21,7,2106,0,15
21,7,2110,0,29
21,7,2111,0,37
21,7,2114,0,49
21,7,2116,0,35
21,7,2128,0,40
21,7,2135,0,36
21,7,2137,0,18
21,7,2138,0,33
21,7,2155,0,31
21,7,2160,28,0
21,7,2161,0,36
21,7,2164,0,45
21,7,2167,0,18
21,7,2170,0,20
21,7,2171,0,40
21,7,2177,0,92
21,7,2178,0,54
21,7,2185,0,35
21,7,2186,0,47
21,7,2190,0,52
21,7,2192,0,79
21,7,2193,0,24
21,7,2194,0,38
21,7,2195,0,34
21,7,2199,0,7
21,7,2204,39,0
21,7,2208,22,0
21,7,2209,40,0
21,7,2212,0,30
21,7,2214,28,0
21,7,2220,72,0
21,7,2222,58,0
21,7,2231,81,0
21,7,2232,42,0
21,7,2234,28,0
21,7,2235,44,0
21,7,2240,40,0
21,7,2244,145,0
21,7,2246,33,0
21,7,2256,42,0
21,7,2267,42,0
21,7,2278,11,0
