Date,Session,Price,SellVolume,BuyVolume
18,8,-1,0,0
18,8,2213,0,99
18,8,2214,0,16
18,8,2216,0,36
18,8,2227,0,21
18,8,2230,36,45
18,8,2232,0,68
18,8,2235,0,105
18,8,2237,0,60
18,8,2238,0,24
18,8,2242,19,0
18,8,2245,0,115
18,8,2248,0,43
18,8,2251,0,36
18,8,2254,0,42
18,8,2255,0,80
18,8,2258,41,0
18,8,2260,44,0
18,8,2261,44,0
18,8,2264,36,0
18,8,2272,30,0
18,8,2277,62,0
18,8,2278,14,0
18,8,2279,40,0
18,8,2280,79,0
18,8,2281,18,0
18,8,2282,72,0
18,8,2290,65,0
18,8,2292,16,0
18,8,2293,65,0
18,8,2297,37,0
18,8,2300,99,0
18,8,2302,19,0
18,8,2307,44,0
18,8,2318,29,0
18,8,2339,47,0
