Date,Session,Price,SellVolume,BuyVolume
23,8,-1,0,0
23,8,2068,0,27
23,8,2085,0,11
23,8,2091,0,48
23,8,2095,0,68
23,8,2098,0,63
23,8,2099,0,57
23,8,2100,0,48
23,8,2101,0,35
23,8,2103,0,46
23,8,2104,0,42
23,8,2105,0,34
23,8,2106,0,13
23,8,2107,0,26
23,8,2108,0,50
23,8,2110,0,45
23,8,2111,0,46
23,8,2114,0,47
23,8,2115,0,47
23,8,2116,0,24
23,8,2117,0,97
23,8,2123,44,0
23,8,2127,18,0
23,8,2128,38,0
23,8,2131,0,21
23,8,2135,46,0
23,8,2136,42,0
23,8,2138,42,25
23,8,2141,59,0
23,8,2143,105,0
23,8,2144,0,43
23,8,2145,74,0
23,8,2146,70,0
23,8,2156,24,0
23,8,2157,56,0
23,8,2158,48,0
23,8,2160,0,37
23,8,2162,22,0
23,8,2165,83,0
23,8,2179,48,0
