Date,Session,Price,SellVolume,BuyVolume
30,6,-1,0,0
30,6,1937,0,41
30,6,1950,0,36
30,6,1971,0,43
30,6,1976,0,32
30,6,1983,0,49
30,6,1986,0,36
30,6,1988,0,14
30,6,1991,0,82
30,6,1994,0,45
30,6,1999,0,37
30,6,2004,0,16
30,6,2010,0,40
30,6,2012,0,41
30,6,2015,0,48
30,6,2019,0,32
30,6,2020,0,30
30,6,2024,0,40
30,6,2026,21,0
30,6,2029,0,45
30,6,2030,0,49
30,6,2033,0,45
30,6,2038,0,29
30,6,2045,0,13
30,6,2047,0,26
30,6,2051,0,25
30,6,2054,0,35
30,6,2056,0,25
30,6,2057,0,46
30,6,2061,0,10
30,6,2063,0,50
30,6,2064,45,0
30,6,2065,0,13
30,6,2073,0,14
30,6,2075,0,12
30,6,2079,0,33
30,6,2091,21,0
30,6,2095,47,0
30,6,2097,49,0
30,6,2098,38,0
30,6,2099,39,0
30,6,2101,50,0
30,6,2102,20,0
30,6,2104,36,0
30,6,2105,22,0
30,6,2106,67,0
30,6,2123,38,0
