Date,Session,Price,SellVolume,BuyVolume
15,8,-1,0,0
15,8,2191,0,38
15,8,2205,0,41
15,8,2215,0,13
15,8,2218,0,83
15,8,2222,0,30
15,8,2224,0,41
15,8,2229,0,48
15,8,2231,0,166
15,8,2232,0,162
15,8,2234,0,28
15,8,2235,0,92
15,8,2236,0,17
15,8,2239,0,28
15,8,2240,0,36
15,8,2242,0,23
15,8,2246,0,11
15,8,2255,0,31
15,8,2256,0,50
15,8,2258,45,0
15,8,2259,24,0
15,8,2263,80,0
15,8,2267,45,0
15,8,2273,33,0
15,8,2274,0,24
15,8,2276,47,0
15,8,2277,102,0
15,8,2278,48,0
15,8,2279,46,0
15,8,2280,33,0
15,8,2285,79,0
15,8,2290,0,45
15,8,2292,31,0
15,8,2302,17,0
15,8,2350,33,0
