Date,Session,Price,SellVolume,BuyVolume
16,8,-1,0,0
16,8,2202,0,35
16,8,2204,0,28
16,8,2208,0,29
16,8,2210,0,70
16,8,2212,0,29
16,8,2214,0,56
16,8,2215,0,94
16,8,2216,0,28
16,8,2221,0,72
16,8,2224,39,43
16,8,2230,0,46
16,8,2231,28,0
16,8,2232,4,0
16,8,2235,6,0
16,8,2236,19,0
16,8,2237,39,0
16,8,2238,23,0
16,8,2242,30,0
16,8,2243,39,12
16,8,2245,0,46
16,8,2247,95,0
16,8,2255,91,0
16,8,2257,68,0
16,8,2260,108,0
16,8,2266,38,0
16,8,2267,34,0
16,8,2275,19,0
16,8,2276,45,0
16,8,2279,0,15
16,8,2281,29,0
16,8,2283,19,0
16,8,2291,39,0
