Date,Session,Price,SellVolume,BuyVolume
30,7,-1,0,0
30,7,1937,0,41
30,7,1950,0,36
30,7,1971,0,43
30,7,1976,0,32
30,7,1981,0,37
30,7,1983,0,49
30,7,1986,0,36
30,7,1988,0,14
30,7,1991,0,82
30,7,1994,0,45
30,7,1998,0,50
30,7,1999,0,37
30,7,2004,0,16
30,7,2009,0,43
30,7,2010,0,40
30,7,2012,0,41
30,7,2015,0,48
30,7,2019,0,32
30,7,2020,0,30
30,7,2024,0,40
30,7,2029,0,45
30,7,2030,0,49
30,7,2033,0,45
30,7,2038,0,29
30,7,2044,0,32
30,7,2045,0,13
30,7,2047,0,26
30,7,2051,0,25
30,7,2054,0,35
30,7,2056,0,25
30,7,2057,0,46
30,7,2061,0,10
30,7,2063,0,50
30,7,2065,31,6
30,7,2085,53,0
30,7,2091,21,0
30,7,2095,47,0
30,7,2096,0,48
30,7,2097,49,0
30,7,2098,38,0
30,7,2099,39,0
30,7,2101,50,0
30,7,2102,20,0
30,7,2104,36,0
30,7,2105,22,0
30,7,2106,67,0
30,7,2123,38,0
