Date,Session,Price,SellVolume,BuyVolume
30,4,-1,0,0
30,4,1937,0,41
30,4,1950,0,36
30,4,1971,0,43
30,4,1976,0,32
30,4,1983,0,49
30,4,1988,0,14
30,4,1991,0,42
30,4,1994,0,45
30,4,1999,0,37
30,4,2004,0,16
30,4,2012,0,41
30,4,2015,0,30
30,4,2018,22,0
30,4,2019,0,32
30,4,2020,0,30
30,4,2024,0,40
30,4,2029,0,45
30,4,2033,0,45
30,4,2045,0,13
30,4,2051,0,25
30,4,2054,0,35
30,4,2061,0,10
30,4,2063,0,50
30,4,2065,0,13
30,4,2074,17,0
30,4,2075,0,12
30,4,2080,0,37
30,4,2091,0,23
30,4,2095,47,0
30,4,2099,39,0
30,4,2101,50,0
30,4,2102,20,0
30,4,2104,36,0
30,4,2105,22,0
30,4,2106,67,0
30,4,2123,38,0
