Date,Session,Price,SellVolume,BuyVolume
15,6,-1,0,0
15,6,2191,0,38
15,6,2215,0,13
15,6,2218,0,83
15,6,2222,0,30
15,6,2224,0,41
15,6,2229,0,48
15,6,2231,0,166
15,6,2232,0,162
15,6,2234,0,28
15,6,2235,0,55
15,6,2236,0,17
15,6,2239,0,28
15,6,2242,0,23
15,6,2244,16,0
15,6,2246,0,11
15,6,2254,44,0
15,6,2256,0,50
15,6,2257,36,0
15,6,2259,11,0
15,6,2263,118,0
15,6,2267,45,31
15,6,2272,0,46
15,6,2273,33,0
15,6,2276,47,0
15,6,2277,102,0
15,6,2278,48,0
15,6,2279,46,0
15,6,2280,12,0
15,6,2285,41,0
15,6,2286,0,10
15,6,2292,31,0
