Date,Session,Price,SellVolume,BuyVolume
22,8,-1,0,0
22,8,2057,0,40
22,8,2059,0,32
22,8,2072,0,10
22,8,2076,0,32
22,8,2083,0,45
22,8,2085,0,47
22,8,2087,0,46
22,8,2096,0,10
22,8,2098,0,38
22,8,2099,0,31
22,8,2120,0,32
22,8,2132,0,32
22,8,2134,12,66
22,8,2137,0,38
22,8,2143,0,69
22,8,2147,0,60
22,8,2149,0,63
22,8,2151,0,28
22,8,2152,15,0
22,8,2163,0,47
22,8,2175,48,0
22,8,2176,45,0
22,8,2177,39,0
22,8,2178,27,0
22,8,2184,26,0
22,8,2190,65,0
22,8,2192,77,0
22,8,2196,39,0
22,8,2197,56,0
22,8,2198,78,0
22,8,2200,57,0
22,8,2201,27,0
22,8,2204,33,0
22,8,2212,46,0
22,8,2219,85,0
