Date,Session,Price,SellVolume,BuyVolume
8,8,-1,0,0
8,8,2124,30,0
8,8,2132,0,14
8,8,2135,0,34
8,8,2136,0,79
8,8,2138,0,38
8,8,2141,0,41
8,8,2142,0,72
8,8,2144,0,108
8,8,2145,0,34
8,8,2150,0,44
8,8,2157,0,43
8,8,2159,1,0
8,8,2167,5,0
8,8,2168,0,17
8,8,2173,14,0
8,8,2174,0,46
8,8,2177,32,0
8,8,2178,73,0
8,8,2179,13,0
8,8,2181,90,0
8,8,2183,11,0
8,8,2184,81,0
8,8,2185,86,0
8,8,2187,54,0
8,8,2193,83,0
8,8,2199,23,0
8,8,2200,94,0
8,8,2231,33,0
8,8,2251,19,0
8,8,2269,49,0
8,8,2288,47,0
8,8,2289,30,0
8,8,2301,20,0
8,8,2312,41,0
8,8,2314,39,0
8,8,2325,19,0
8,8,2338,18,0
8,8,2345,39,0
8,8,2354,16,0
