Date,Session,Price,SellVolume,BuyVolume
1,4,-1,0,0
1,4,1992,24,0
1,4,1993,0,43
1,4,1997,0,46
1,4,1998,0,28
1,4,1999,0,132
1,4,2002,0,33
1,4,2003,0,30
1,4,2005,0,75
1,4,2010,0,17
1,4,2011,0,39
1,4,2015,0,22
1,4,2022,40,0
1,4,2031,27,0
1,4,2032,0,39
1,4,2035,50,0
1,4,2036,43,0
1,4,2037,37,0
1,4,2038,25,0
1,4,2039,13,0
1,4,2040,111,0
1,4,2041,0,34
1,4,2042,0,17
1,4,2044,18,40
1,4,2046,88,0
1,4,2048,29,0
1,4,2050,39,0
1,4,2051,49,0
1,4,2053,24,0
1,4,2059,34,0
1,4,2062,22,0
1,4,2072,41,0
1,4,2073,37,0
1,4,2083,0,39
1,4,2096,21,0
